Time (ms) - Plot 0	Amplitude (um) - Plot 0	
0,0	2,89553	
0,3	2,89555	
0,5	2,89607	
0,8	2,89721	
1,1	2,89835	
1,3	2,89941	
1,6	2,90034	
1,9	2,90118	
2,1	2,90181	
2,4	2,90236	
2,7	2,90287	
2,9	2,90328	
3,2	2,90366	
3,5	2,90397	
3,7	2,90421	
4,0	2,90439	
4,3	2,90457	
4,5	2,90472	
4,8	2,90488	
5,1	2,90495	
5,3	2,90507	
5,6	2,90509	
5,9	2,90513	
6,1	2,90517	
6,4	2,90525	
6,7	2,90538	
6,9	2,90540	
7,2	2,90538	
7,5	2,90541	
7,7	2,90544	
8,0	2,90545	
8,3	2,90549	
8,5	2,90548	
8,8	2,90549	
9,1	2,90551	
9,3	2,90551	
9,6	2,90549	
9,9	2,90550	
10,1	2,90550	
10,4	2,90552	
10,7	2,90554	
10,9	2,90548	
11,2	2,90551	
11,5	2,90554	
11,7	2,90550	
12,0	2,90554	
12,3	2,90555	
12,5	2,90553	
12,8	2,90555	
13,1	2,90555	
13,3	2,90556	
13,6	2,90553	
13,9	2,90551	
14,1	2,90552	
14,4	2,90551	
14,7	2,90549	
14,9	2,90549	
15,2	2,90549	
15,5	2,90548	
15,7	2,90549	
16,0	2,90551	
16,3	2,90548	
16,5	2,90548	
16,8	2,90550	
17,1	2,90548	
17,3	2,90552	
17,6	2,90554	
17,9	2,90556	
18,1	2,90558	
18,4	2,90558	
18,7	2,90553	
18,9	2,90549	
19,2	2,90549	
19,5	2,90550	
19,7	2,90548	
20,0	2,90549	
20,3	2,90548	
20,5	2,90550	
20,8	2,90549	
21,1	2,90548	
21,3	2,90553	
21,6	2,90552	
21,9	2,90549	
22,1	2,90549	
22,4	2,90554	
22,7	2,90554	
22,9	2,90554	
23,2	2,90552	
23,5	2,90556	
23,7	2,90554	
24,0	2,90551	
24,3	2,90553	
24,5	2,90551	
24,8	2,90549	
25,1	2,90550	
25,3	2,90549	
25,6	2,90552	
25,9	2,90548	
26,1	2,90550	
26,4	2,90549	
26,7	2,90551	
26,9	2,90546	
27,2	2,90545	
27,5	2,90549	
27,7	2,90546	
28,0	2,90544	
28,3	2,90544	
28,5	2,90547	
28,8	2,90553	
29,1	2,90548	
29,3	2,90550	
29,6	2,90549	
29,9	2,90551	
30,1	2,90552	
30,4	2,90558	
30,7	2,90556	
30,9	2,90553	
31,2	2,90553	
31,5	2,90552	
31,7	2,90551	
32,0	2,90550	
32,3	2,90552	
32,5	2,90548	
32,8	2,90551	
33,1	2,90552	
33,3	2,90552	
33,6	2,90553	
33,9	2,90552	
34,1	2,90552	
34,4	2,90555	
34,7	2,90556	
34,9	2,90550	
35,2	2,90550	
35,5	2,90548	
35,7	2,90547	
36,0	2,90545	
36,3	2,90548	
36,5	2,90545	
36,8	2,90547	
37,1	2,90549	
37,3	2,90545	
37,6	2,90545	
37,9	2,90547	
38,1	2,90549	
38,4	2,90547	
38,7	2,90553	
38,9	2,90554	
39,2	2,90548	
39,5	2,90549	
39,7	2,90548	
40,0	2,90542	
40,3	2,90548	
40,5	2,90549	
40,8	2,90548	
41,1	2,90547	
41,3	2,90549	
41,6	2,90547	
41,9	2,90549	
42,1	2,90547	
42,4	2,90553	
42,7	2,90546	
42,9	2,90546	
43,2	2,90545	
43,5	2,90545	
43,7	2,90549	
44,0	2,90549	
44,3	2,90546	
44,5	2,90550	
44,8	2,90551	
45,1	2,90548	
45,3	2,90550	
45,6	2,90549	
45,9	2,90544	
46,1	2,90544	
46,4	2,90550	
46,7	2,90547	
46,9	2,90552	
47,2	2,90550	
47,5	2,90552	
47,7	2,90548	
48,0	2,90551	
48,3	2,90552	
48,5	2,90549	
48,8	2,90549	
49,1	2,90545	
49,3	2,90545	
49,6	2,90551	
49,9	2,90553	
50,1	2,90548	
50,4	2,90548	
50,7	2,90552	
50,9	2,90555	
51,2	2,90549	
51,5	2,90551	
51,7	2,90552	
52,0	2,90552	
52,3	2,90552	
52,5	2,90553	
52,8	2,90552	
53,1	2,90549	
53,3	2,90551	
53,6	2,90556	
53,9	2,90550	
54,1	2,90550	
54,4	2,90547	
54,7	2,90547	
54,9	2,90550	
55,2	2,90547	
55,5	2,90549	
55,7	2,90548	
56,0	2,90548	
56,3	2,90550	
56,5	2,90546	
56,8	2,90548	
57,1	2,90549	
57,3	2,90547	
57,6	2,90554	
57,9	2,90551	
58,1	2,90551	
58,4	2,90554	
58,7	2,90551	
58,9	2,90553	
59,2	2,90553	
59,5	2,90552	
59,7	2,90546	
60,0	2,90549	
60,3	2,90549	
60,5	2,90551	
60,8	2,90553	
61,1	2,90557	
61,3	2,90553	
61,6	2,90553	
61,9	2,90547	
62,1	2,90547	
62,4	2,90546	
62,7	2,90540	
62,9	2,90550	
63,2	2,90553	
63,5	2,90555	
63,7	2,90554	
64,0	2,90552	
64,3	2,90549	
64,5	2,90550	
64,8	2,90550	
65,1	2,90550	
65,3	2,90550	
65,6	2,90552	
65,9	2,90547	
66,1	2,90547	
66,4	2,90546	
66,7	2,90546	
66,9	2,90546	
67,2	2,90552	
67,5	2,90548	
67,7	2,90550	
68,0	2,90550	
68,3	2,90552	
68,5	2,90556	
68,8	2,90552	
69,1	2,90552	
69,3	2,90550	
69,6	2,90550	
69,9	2,90550	
70,1	2,90551	
70,4	2,90548	
70,7	2,90551	
70,9	2,90550	
71,2	2,90543	
71,5	2,90543	
71,7	2,90545	
72,0	2,90550	
72,3	2,90554	
72,5	2,90558	
72,8	2,90552	
73,1	2,90547	
73,3	2,90544	
73,6	2,90545	
73,9	2,90542	
74,1	2,90544	
74,4	2,90545	
74,7	2,90546	
74,9	2,90548	
75,2	2,90546	
75,5	2,90548	
75,7	2,90547	
76,0	2,90549	
76,3	2,90550	
76,5	2,90547	
76,8	2,90552	
77,1	2,90549	
77,3	2,90552	
77,6	2,90552	
77,9	2,90556	
78,1	2,90554	
78,4	2,90549	
78,7	2,90552	
78,9	2,90551	
79,2	2,90550	
79,5	2,90550	
79,7	2,90548	
80,0	2,90547	
80,3	2,90551	
80,5	2,90549	
80,8	2,90550	
81,1	2,90548	
81,3	2,90545	
81,6	2,90545	
81,9	2,90545	
82,1	2,90547	
82,4	2,90546	
82,7	2,90547	
82,9	2,90544	
83,2	2,90546	
83,5	2,90548	
83,7	2,90557	
84,0	2,90555	
84,3	2,90556	
84,5	2,90554	
84,8	2,90554	
85,1	2,90550	
85,3	2,90550	
85,6	2,90550	
85,9	2,90550	
86,1	2,90548	
86,4	2,90547	
86,7	2,90546	
86,9	2,90547	
87,2	2,90546	
87,5	2,90545	
87,7	2,90548	
88,0	2,90548	
88,3	2,90549	
88,5	2,90551	
88,8	2,90551	
89,1	2,90551	
89,3	2,90549	
89,6	2,90547	
89,9	2,90549	
90,1	2,90544	
90,4	2,90549	
90,7	2,90550	
90,9	2,90550	
91,2	2,90548	
91,5	2,90549	
91,7	2,90546	
92,0	2,90552	
92,3	2,90551	
92,5	2,90552	
92,8	2,90551	
93,1	2,90550	
93,3	2,90547	
93,6	2,90545	
93,9	2,90548	
94,1	2,90545	
94,4	2,90545	
94,7	2,90548	
94,9	2,90547	
95,2	2,90555	
95,5	2,90554	
95,7	2,90554	
96,0	2,90548	
96,3	2,90549	
96,5	2,90550	
96,8	2,90549	
97,1	2,90548	
97,3	2,90547	
97,6	2,90547	
97,9	2,90551	
98,1	2,90547	
98,4	2,90549	
98,7	2,90552	
98,9	2,90550	
99,2	2,90550	
99,5	2,90545	
99,7	2,90550	
100,0	2,90550	
100,3	2,90546	
100,5	2,90549	
100,8	2,90550	
101,1	2,90546	
101,3	2,90546	
101,6	2,90546	
101,9	2,90549	
102,1	2,90547	
102,4	2,90549	
102,7	2,90550	
102,9	2,90551	
103,2	2,90550	
103,5	2,90548	
103,7	2,90549	
104,0	2,90545	
104,3	2,90543	
104,5	2,90544	
104,8	2,90543	
105,1	2,90542	
105,3	2,90546	
105,6	2,90546	
105,9	2,90549	
106,1	2,90548	
106,4	2,90549	
106,7	2,90552	
106,9	2,90548	
107,2	2,90545	
107,5	2,90544	
107,7	2,90542	
108,0	2,90542	
108,3	2,90545	
108,5	2,90548	
108,8	2,90551	
109,1	2,90551	
109,3	2,90551	
109,6	2,90552	
109,9	2,90550	
110,1	2,90554	
110,4	2,90553	
110,7	2,90552	
110,9	2,90552	
111,2	2,90552	
111,5	2,90552	
111,7	2,90549	
112,0	2,90547	
112,3	2,90541	
112,5	2,90541	
112,8	2,90542	
113,1	2,90545	
113,3	2,90546	
113,6	2,90548	
113,9	2,90551	
114,1	2,90549	
114,4	2,90549	
114,7	2,90553	
114,9	2,90551	
115,2	2,90548	
115,5	2,90549	
115,7	2,90549	
116,0	2,90544	
116,3	2,90543	
116,5	2,90550	
116,8	2,90549	
117,1	2,90548	
117,3	2,90552	
117,6	2,90554	
117,9	2,90553	
118,1	2,90552	
118,4	2,90552	
118,7	2,90549	
118,9	2,90550	
119,2	2,90550	
119,5	2,90545	
119,7	2,90545	
120,0	2,90547	
120,3	2,90551	
120,5	2,90552	
120,8	2,90552	
121,1	2,90547	
121,3	2,90548	
121,6	2,90553	
121,9	2,90552	
122,1	2,90553	
122,4	2,90550	
122,7	2,90552	
122,9	2,90548	
123,2	2,90546	
123,5	2,90547	
123,7	2,90547	
124,0	2,90547	
124,3	2,90547	
124,5	2,90546	
124,8	2,90545	
125,1	2,90548	
125,3	2,90545	
125,6	2,90549	
125,9	2,90552	
126,1	2,90551	
126,4	2,90549	
126,7	2,90554	
126,9	2,90559	
127,2	2,90555	
127,5	2,90553	
127,7	2,90554	
128,0	2,90549	
128,3	2,90548	
128,5	2,90554	
128,8	2,90550	
129,1	2,90551	
129,3	2,90555	
129,6	2,90552	
129,9	2,90549	
130,1	2,90556	
130,4	2,90551	
130,7	2,90550	
130,9	2,90549	
131,2	2,90552	
131,5	2,90551	
131,7	2,90549	
