Time (ms) - Plot 0	Amplitude (um) - Plot 0	
0,0	2,85050	
0,3	2,85036	
0,5	2,85567	
0,8	2,86691	
1,1	2,87882	
1,3	2,88985	
1,6	2,89944	
1,9	2,90768	
2,1	2,91474	
2,4	2,92072	
2,7	2,92572	
2,9	2,92991	
3,2	2,93341	
3,5	2,93637	
3,7	2,93884	
4,0	2,94096	
4,3	2,94267	
4,5	2,94409	
4,8	2,94526	
5,1	2,94625	
5,3	2,94703	
5,6	2,94769	
5,9	2,94822	
6,1	2,94871	
6,4	2,94911	
6,7	2,94938	
6,9	2,94966	
7,2	2,94986	
7,5	2,95003	
7,7	2,95011	
8,0	2,95022	
8,3	2,95038	
8,5	2,95040	
8,8	2,95051	
9,1	2,95061	
9,3	2,95062	
9,6	2,95063	
9,9	2,95065	
10,1	2,95065	
10,4	2,95066	
10,7	2,95065	
10,9	2,95071	
11,2	2,95076	
11,5	2,95078	
11,7	2,95074	
12,0	2,95069	
12,3	2,95071	
12,5	2,95068	
12,8	2,95073	
13,1	2,95072	
13,3	2,95070	
13,6	2,95066	
13,9	2,95069	
14,1	2,95068	
14,4	2,95068	
14,7	2,95065	
14,9	2,95064	
15,2	2,95066	
15,5	2,95068	
15,7	2,95067	
16,0	2,95060	
16,3	2,95061	
16,5	2,95059	
16,8	2,95059	
17,1	2,95059	
17,3	2,95061	
17,6	2,95063	
17,9	2,95061	
18,1	2,95059	
18,4	2,95060	
18,7	2,95066	
18,9	2,95068	
19,2	2,95068	
19,5	2,95064	
19,7	2,95063	
20,0	2,95060	
20,3	2,95059	
20,5	2,95055	
20,8	2,95057	
21,1	2,95059	
21,3	2,95059	
21,6	2,95060	
21,9	2,95059	
22,1	2,95055	
22,4	2,95054	
22,7	2,95059	
22,9	2,95059	
23,2	2,95057	
23,5	2,95059	
23,7	2,95065	
24,0	2,95065	
24,3	2,95060	
24,5	2,95062	
24,8	2,95064	
25,1	2,95059	
25,3	2,95061	
25,6	2,95060	
25,9	2,95059	
26,1	2,95058	
26,4	2,95051	
26,7	2,95052	
26,9	2,95053	
27,2	2,95051	
27,5	2,95052	
27,7	2,95051	
28,0	2,95056	
28,3	2,95056	
28,5	2,95054	
28,8	2,95057	
29,1	2,95053	
29,3	2,95049	
29,6	2,95052	
29,9	2,95053	
30,1	2,95049	
30,4	2,95051	
30,7	2,95052	
30,9	2,95053	
31,2	2,95056	
31,5	2,95057	
31,7	2,95058	
32,0	2,95061	
