Time (ms) - Plot 0	Amplitude (um) - Plot 0	
0,0	2,86550	
0,3	2,86534	
0,5	2,86911	
0,8	2,87698	
1,1	2,88524	
1,3	2,89295	
1,6	2,89969	
1,9	2,90544	
2,1	2,91031	
2,4	2,91446	
2,7	2,91788	
2,9	2,92082	
3,2	2,92328	
3,5	2,92528	
3,7	2,92709	
4,0	2,92852	
4,3	2,92975	
4,5	2,93074	
4,8	2,93162	
5,1	2,93236	
5,3	2,93295	
5,6	2,93343	
5,9	2,93382	
6,1	2,93419	
6,4	2,93442	
6,7	2,93464	
6,9	2,93484	
7,2	2,93499	
7,5	2,93511	
7,7	2,93524	
8,0	2,93528	
8,3	2,93534	
8,5	2,93543	
8,8	2,93545	
9,1	2,93547	
9,3	2,93552	
9,6	2,93552	
9,9	2,93559	
10,1	2,93560	
10,4	2,93563	
10,7	2,93568	
10,9	2,93566	
11,2	2,93567	
11,5	2,93566	
11,7	2,93562	
12,0	2,93563	
12,3	2,93566	
12,5	2,93560	
12,8	2,93557	
13,1	2,93560	
13,3	2,93556	
13,6	2,93556	
13,9	2,93558	
14,1	2,93560	
14,4	2,93560	
14,7	2,93559	
14,9	2,93561	
15,2	2,93558	
15,5	2,93560	
15,7	2,93560	
16,0	2,93557	
16,3	2,93558	
16,5	2,93557	
16,8	2,93555	
17,1	2,93554	
17,3	2,93552	
17,6	2,93554	
17,9	2,93552	
18,1	2,93553	
18,4	2,93554	
18,7	2,93553	
18,9	2,93556	
19,2	2,93554	
19,5	2,93552	
19,7	2,93552	
20,0	2,93559	
20,3	2,93553	
20,5	2,93552	
20,8	2,93550	
21,1	2,93551	
21,3	2,93552	
21,6	2,93556	
21,9	2,93554	
22,1	2,93558	
22,4	2,93557	
22,7	2,93554	
22,9	2,93560	
23,2	2,93560	
23,5	2,93556	
23,7	2,93562	
24,0	2,93560	
24,3	2,93560	
24,5	2,93556	
24,8	2,93554	
25,1	2,93551	
25,3	2,93547	
25,6	2,93553	
25,9	2,93556	
26,1	2,93553	
26,4	2,93547	
26,7	2,93550	
26,9	2,93554	
27,2	2,93554	
27,5	2,93549	
27,7	2,93549	
28,0	2,93549	
28,3	2,93550	
28,5	2,93554	
28,8	2,93552	
29,1	2,93554	
29,3	2,93553	
29,6	2,93552	
29,9	2,93556	
30,1	2,93554	
30,4	2,93551	
30,7	2,93551	
30,9	2,93560	
31,2	2,93558	
31,5	2,93560	
31,7	2,93561	
32,0	2,93558	
32,3	2,93554	
32,5	2,93560	
32,8	2,93553	
33,1	2,93554	
33,3	2,93554	
33,6	2,93555	
33,9	2,93553	
34,1	2,93550	
34,4	2,93553	
34,7	2,93551	
34,9	2,93553	
35,2	2,93555	
35,5	2,93554	
35,7	2,93557	
36,0	2,93556	
36,3	2,93551	
36,5	2,93553	
36,8	2,93552	
37,1	2,93552	
37,3	2,93557	
37,6	2,93552	
37,9	2,93551	
38,1	2,93553	
38,4	2,93551	
38,7	2,93554	
38,9	2,93553	
39,2	2,93550	
39,5	2,93550	
39,7	2,93553	
40,0	2,93548	
40,3	2,93548	
40,5	2,93550	
40,8	2,93549	
41,1	2,93551	
41,3	2,93552	
41,6	2,93550	
41,9	2,93555	
42,1	2,93559	
42,4	2,93554	
42,7	2,93553	
42,9	2,93550	
43,2	2,93553	
43,5	2,93555	
43,7	2,93550	
44,0	2,93555	
44,3	2,93553	
44,5	2,93554	
44,8	2,93552	
45,1	2,93554	
45,3	2,93553	
45,6	2,93554	
45,9	2,93553	
46,1	2,93551	
46,4	2,93553	
46,7	2,93552	
46,9	2,93553	
47,2	2,93555	
47,5	2,93553	
47,7	2,93553	
48,0	2,93551	
48,3	2,93548	
48,5	2,93549	
48,8	2,93549	
49,1	2,93544	
49,3	2,93547	
49,6	2,93550	
49,9	2,93551	
50,1	2,93553	
50,4	2,93554	
50,7	2,93558	
50,9	2,93559	
51,2	2,93562	
51,5	2,93560	
51,7	2,93552	
52,0	2,93548	
52,3	2,93548	
52,5	2,93549	
52,8	2,93552	
53,1	2,93549	
53,3	2,93550	
53,6	2,93543	
53,9	2,93544	
54,1	2,93544	
54,4	2,93548	
54,7	2,93548	
54,9	2,93549	
55,2	2,93554	
55,5	2,93552	
55,7	2,93552	
56,0	2,93550	
56,3	2,93554	
56,5	2,93551	
56,8	2,93551	
57,1	2,93553	
57,3	2,93552	
57,6	2,93553	
57,9	2,93556	
58,1	2,93555	
58,4	2,93556	
58,7	2,93554	
58,9	2,93550	
59,2	2,93554	
59,5	2,93552	
59,7	2,93553	
60,0	2,93552	
60,3	2,93549	
60,5	2,93551	
60,8	2,93550	
61,1	2,93550	
61,3	2,93554	
61,6	2,93551	
61,9	2,93550	
62,1	2,93553	
62,4	2,93556	
62,7	2,93555	
62,9	2,93555	
63,2	2,93548	
63,5	2,93548	
63,7	2,93552	
64,0	2,93550	
64,3	2,93552	
64,5	2,93550	
64,8	2,93550	
65,1	2,93549	
65,3	2,93547	
65,6	2,93544	
65,9	2,93552	
66,1	2,93555	
66,4	2,93552	
66,7	2,93547	
66,9	2,93549	
67,2	2,93551	
67,5	2,93552	
67,7	2,93547	
68,0	2,93547	
68,3	2,93548	
68,5	2,93552	
68,8	2,93550	
69,1	2,93551	
69,3	2,93548	
69,6	2,93548	
69,9	2,93552	
70,1	2,93553	
70,4	2,93554	
70,7	2,93553	
70,9	2,93554	
71,2	2,93553	
71,5	2,93552	
71,7	2,93549	
72,0	2,93550	
72,3	2,93554	
72,5	2,93557	
72,8	2,93555	
73,1	2,93556	
73,3	2,93554	
73,6	2,93553	
73,9	2,93549	
74,1	2,93550	
74,4	2,93550	
74,7	2,93552	
74,9	2,93547	
75,2	2,93553	
75,5	2,93553	
75,7	2,93552	
76,0	2,93552	
76,3	2,93552	
76,5	2,93550	
76,8	2,93549	
77,1	2,93550	
77,3	2,93555	
77,6	2,93552	
77,9	2,93552	
78,1	2,93551	
78,4	2,93551	
78,7	2,93548	
78,9	2,93550	
79,2	2,93549	
79,5	2,93549	
79,7	2,93549	
80,0	2,93550	
80,3	2,93552	
80,5	2,93549	
80,8	2,93547	
81,1	2,93549	
81,3	2,93553	
81,6	2,93551	
81,9	2,93552	
82,1	2,93551	
82,4	2,93550	
82,7	2,93551	
82,9	2,93552	
83,2	2,93550	
83,5	2,93547	
83,7	2,93547	
84,0	2,93549	
84,3	2,93549	
84,5	2,93551	
84,8	2,93547	
85,1	2,93549	
85,3	2,93548	
85,6	2,93548	
85,9	2,93549	
86,1	2,93549	
86,4	2,93550	
86,7	2,93554	
86,9	2,93557	
87,2	2,93553	
87,5	2,93552	
87,7	2,93551	
88,0	2,93550	
88,3	2,93550	
88,5	2,93551	
88,8	2,93548	
89,1	2,93550	
89,3	2,93554	
89,6	2,93554	
89,9	2,93548	
90,1	2,93549	
90,4	2,93549	
90,7	2,93551	
90,9	2,93551	
91,2	2,93554	
91,5	2,93552	
91,7	2,93552	
92,0	2,93550	
92,3	2,93551	
92,5	2,93553	
92,8	2,93551	
93,1	2,93548	
93,3	2,93550	
93,6	2,93550	
93,9	2,93550	
94,1	2,93551	
94,4	2,93551	
94,7	2,93554	
94,9	2,93551	
95,2	2,93551	
95,5	2,93549	
95,7	2,93549	
96,0	2,93550	
96,3	2,93552	
96,5	2,93547	
96,8	2,93551	
97,1	2,93550	
97,3	2,93551	
97,6	2,93549	
97,9	2,93550	
98,1	2,93550	
98,4	2,93548	
98,7	2,93552	
98,9	2,93553	
99,2	2,93550	
99,5	2,93545	
99,7	2,93545	
100,0	2,93547	
100,3	2,93547	
100,5	2,93548	
100,8	2,93547	
101,1	2,93552	
101,3	2,93548	
101,6	2,93550	
101,9	2,93552	
102,1	2,93549	
102,4	2,93553	
102,7	2,93551	
102,9	2,93553	
103,2	2,93550	
103,5	2,93552	
103,7	2,93549	
104,0	2,93549	
104,3	2,93550	
104,5	2,93550	
104,8	2,93550	
105,1	2,93549	
105,3	2,93551	
105,6	2,93547	
105,9	2,93548	
106,1	2,93550	
106,4	2,93555	
106,7	2,93556	
106,9	2,93557	
107,2	2,93558	
107,5	2,93555	
107,7	2,93552	
108,0	2,93553	
108,3	2,93548	
108,5	2,93549	
108,8	2,93551	
109,1	2,93550	
109,3	2,93548	
109,6	2,93549	
109,9	2,93544	
110,1	2,93546	
110,4	2,93551	
110,7	2,93551	
110,9	2,93553	
111,2	2,93549	
111,5	2,93551	
111,7	2,93550	
112,0	2,93550	
112,3	2,93546	
112,5	2,93550	
112,8	2,93550	
113,1	2,93552	
113,3	2,93547	
113,6	2,93545	
113,9	2,93549	
114,1	2,93547	
114,4	2,93547	
114,7	2,93547	
114,9	2,93554	
115,2	2,93556	
115,5	2,93552	
115,7	2,93549	
116,0	2,93554	
116,3	2,93557	
116,5	2,93553	
116,8	2,93553	
117,1	2,93548	
117,3	2,93547	
117,6	2,93549	
117,9	2,93546	
118,1	2,93549	
118,4	2,93550	
118,7	2,93549	
118,9	2,93549	
119,2	2,93555	
119,5	2,93557	
119,7	2,93556	
120,0	2,93552	
120,3	2,93554	
120,5	2,93554	
120,8	2,93556	
121,1	2,93555	
121,3	2,93554	
121,6	2,93554	
121,9	2,93551	
122,1	2,93552	
122,4	2,93546	
122,7	2,93545	
122,9	2,93551	
123,2	2,93550	
123,5	2,93553	
123,7	2,93555	
124,0	2,93558	
124,3	2,93552	
124,5	2,93552	
124,8	2,93552	
125,1	2,93551	
125,3	2,93546	
125,6	2,93546	
125,9	2,93544	
126,1	2,93551	
