Time (ms) - Plot 0	Amplitude (um) - Plot 0	
0,0	2,89992	
0,3	2,89993	
0,5	2,90004	
0,8	2,90014	
1,1	2,90030	
1,3	2,90032	
1,6	2,90047	
1,9	2,90057	
2,1	2,90068	
2,4	2,90076	
2,7	2,90076	
2,9	2,90076	
3,2	2,90079	
3,5	2,90086	
3,7	2,90091	
4,0	2,90093	
4,3	2,90094	
4,5	2,90094	
4,8	2,90098	
5,1	2,90100	
5,3	2,90101	
5,6	2,90100	
5,9	2,90103	
6,1	2,90100	
6,4	2,90103	
6,7	2,90100	
6,9	2,90101	
7,2	2,90094	
7,5	2,90093	
7,7	2,90101	
8,0	2,90101	
8,3	2,90099	
8,5	2,90100	
8,8	2,90099	
9,1	2,90098	
9,3	2,90098	
9,6	2,90100	
9,9	2,90101	
10,1	2,90096	
10,4	2,90097	
10,7	2,90098	
10,9	2,90098	
11,2	2,90098	
11,5	2,90094	
11,7	2,90096	
12,0	2,90098	
12,3	2,90097	
12,5	2,90096	
12,8	2,90099	
13,1	2,90095	
13,3	2,90095	
13,6	2,90097	
13,9	2,90100	
14,1	2,90100	
14,4	2,90099	
14,7	2,90099	
14,9	2,90099	
15,2	2,90098	
15,5	2,90102	
15,7	2,90099	
16,0	2,90099	
16,3	2,90102	
16,5	2,90105	
16,8	2,90102	
17,1	2,90104	
17,3	2,90105	
17,6	2,90105	
17,9	2,90100	
18,1	2,90101	
18,4	2,90105	
18,7	2,90104	
18,9	2,90100	
19,2	2,90099	
19,5	2,90097	
19,7	2,90098	
20,0	2,90094	
20,3	2,90098	
20,5	2,90099	
20,8	2,90097	
21,1	2,90097	
21,3	2,90098	
21,6	2,90101	
21,9	2,90098	
22,1	2,90100	
22,4	2,90099	
22,7	2,90098	
22,9	2,90096	
23,2	2,90095	
23,5	2,90096	
23,7	2,90099	
24,0	2,90095	
24,3	2,90095	
24,5	2,90095	
24,8	2,90098	
25,1	2,90099	
25,3	2,90100	
25,6	2,90102	
25,9	2,90103	
26,1	2,90104	
26,4	2,90105	
26,7	2,90100	
26,9	2,90097	
27,2	2,90096	
27,5	2,90099	
27,7	2,90099	
28,0	2,90101	
28,3	2,90096	
28,5	2,90095	
28,8	2,90096	
29,1	2,90103	
29,3	2,90105	
29,6	2,90105	
29,9	2,90103	
30,1	2,90098	
30,4	2,90096	
30,7	2,90097	
30,9	2,90099	
31,2	2,90103	
31,5	2,90099	
31,7	2,90103	
32,0	2,90102	
32,3	2,90102	
32,5	2,90104	
32,8	2,90102	
33,1	2,90104	
33,3	2,90101	
33,6	2,90100	
33,9	2,90104	
34,1	2,90103	
34,4	2,90103	
34,7	2,90103	
34,9	2,90100	
35,2	2,90099	
35,5	2,90095	
35,7	2,90097	
36,0	2,90098	
36,3	2,90094	
36,5	2,90097	
36,8	2,90096	
37,1	2,90095	
37,3	2,90097	
37,6	2,90099	
37,9	2,90102	
38,1	2,90102	
38,4	2,90101	
38,7	2,90104	
38,9	2,90099	
39,2	2,90096	
39,5	2,90098	
39,7	2,90097	
40,0	2,90098	
40,3	2,90094	
40,5	2,90095	
40,8	2,90096	
41,1	2,90102	
41,3	2,90106	
41,6	2,90107	
41,9	2,90104	
42,1	2,90100	
42,4	2,90099	
42,7	2,90098	
42,9	2,90101	
43,2	2,90101	
43,5	2,90100	
43,7	2,90098	
44,0	2,90101	
44,3	2,90097	
44,5	2,90098	
44,8	2,90097	
45,1	2,90099	
45,3	2,90105	
45,6	2,90100	
45,9	2,90102	
46,1	2,90103	
46,4	2,90101	
46,7	2,90098	
46,9	2,90101	
47,2	2,90103	
47,5	2,90101	
47,7	2,90099	
48,0	2,90100	
48,3	2,90097	
48,5	2,90094	
48,8	2,90096	
49,1	2,90098	
49,3	2,90096	
49,6	2,90097	
49,9	2,90095	
50,1	2,90099	
50,4	2,90098	
50,7	2,90098	
50,9	2,90096	
51,2	2,90095	
51,5	2,90099	
51,7	2,90098	
52,0	2,90096	
52,3	2,90094	
52,5	2,90099	
52,8	2,90099	
53,1	2,90099	
53,3	2,90099	
53,6	2,90101	
53,9	2,90101	
54,1	2,90102	
54,4	2,90104	
54,7	2,90105	
54,9	2,90102	
55,2	2,90100	
55,5	2,90102	
55,7	2,90100	
56,0	2,90096	
56,3	2,90098	
56,5	2,90093	
56,8	2,90091	
57,1	2,90099	
57,3	2,90100	
57,6	2,90102	
57,9	2,90099	
58,1	2,90096	
58,4	2,90096	
58,7	2,90095	
58,9	2,90096	
59,2	2,90092	
59,5	2,90096	
59,7	2,90099	
60,0	2,90101	
60,3	2,90097	
60,5	2,90100	
60,8	2,90100	
61,1	2,90102	
61,3	2,90105	
61,6	2,90104	
61,9	2,90101	
62,1	2,90101	
62,4	2,90105	
62,7	2,90102	
62,9	2,90104	
63,2	2,90104	
63,5	2,90104	
63,7	2,90100	
64,0	2,90096	
64,3	2,90096	
64,5	2,90096	
64,8	2,90095	
65,1	2,90096	
65,3	2,90097	
65,6	2,90098	
65,9	2,90098	
66,1	2,90097	
66,4	2,90100	
66,7	2,90101	
66,9	2,90104	
67,2	2,90102	
67,5	2,90101	
67,7	2,90103	
68,0	2,90104	
68,3	2,90102	
68,5	2,90098	
68,8	2,90099	
69,1	2,90096	
69,3	2,90095	
69,6	2,90093	
69,9	2,90097	
70,1	2,90098	
70,4	2,90098	
70,7	2,90099	
70,9	2,90098	
71,2	2,90094	
71,5	2,90097	
71,7	2,90095	
72,0	2,90096	
72,3	2,90098	
72,5	2,90098	
72,8	2,90100	
73,1	2,90102	
73,3	2,90103	
73,6	2,90101	
73,9	2,90100	
74,1	2,90098	
74,4	2,90095	
74,7	2,90099	
74,9	2,90097	
75,2	2,90098	
75,5	2,90100	
75,7	2,90103	
76,0	2,90102	
76,3	2,90104	
76,5	2,90097	
