Time (ms) - Plot 0	Amplitude (um) - Plot 0	
0,0	2,87547	
0,3	2,87543	
0,5	2,87813	
0,8	2,88382	
1,1	2,88973	
1,3	2,89518	
1,6	2,89986	
1,9	2,90393	
2,1	2,90740	
2,4	2,91033	
2,7	2,91285	
2,9	2,91493	
3,2	2,91669	
3,5	2,91816	
3,7	2,91942	
4,0	2,92047	
4,3	2,92132	
4,5	2,92203	
4,8	2,92263	
5,1	2,92316	
5,3	2,92353	
5,6	2,92389	
5,9	2,92417	
6,1	2,92442	
6,4	2,92463	
6,7	2,92476	
6,9	2,92496	
7,2	2,92508	
7,5	2,92521	
7,7	2,92528	
8,0	2,92528	
8,3	2,92537	
8,5	2,92539	
8,8	2,92547	
9,1	2,92545	
9,3	2,92556	
9,6	2,92557	
9,9	2,92556	
10,1	2,92559	
10,4	2,92559	
10,7	2,92557	
10,9	2,92559	
11,2	2,92560	
11,5	2,92558	
11,7	2,92558	
12,0	2,92556	
12,3	2,92558	
12,5	2,92559	
12,8	2,92557	
13,1	2,92565	
13,3	2,92563	
13,6	2,92564	
13,9	2,92559	
14,1	2,92561	
14,4	2,92561	
14,7	2,92563	
14,9	2,92552	
15,2	2,92553	
15,5	2,92556	
15,7	2,92558	
16,0	2,92561	
16,3	2,92558	
16,5	2,92560	
16,8	2,92557	
17,1	2,92557	
17,3	2,92553	
17,6	2,92550	
17,9	2,92551	
18,1	2,92551	
18,4	2,92555	
18,7	2,92555	
18,9	2,92552	
19,2	2,92556	
19,5	2,92555	
19,7	2,92553	
20,0	2,92557	
20,3	2,92561	
20,5	2,92560	
20,8	2,92558	
21,1	2,92556	
21,3	2,92556	
21,6	2,92551	
21,9	2,92554	
22,1	2,92552	
22,4	2,92550	
22,7	2,92550	
22,9	2,92548	
23,2	2,92549	
23,5	2,92551	
23,7	2,92554	
24,0	2,92554	
24,3	2,92553	
24,5	2,92552	
24,8	2,92549	
25,1	2,92554	
25,3	2,92551	
25,6	2,92549	
25,9	2,92548	
26,1	2,92546	
26,4	2,92549	
26,7	2,92548	
26,9	2,92552	
27,2	2,92549	
27,5	2,92550	
27,7	2,92555	
28,0	2,92554	
28,3	2,92554	
28,5	2,92555	
28,8	2,92547	
29,1	2,92551	
29,3	2,92549	
29,6	2,92548	
29,9	2,92553	
30,1	2,92554	
30,4	2,92552	
30,7	2,92553	
30,9	2,92555	
31,2	2,92557	
31,5	2,92556	
31,7	2,92555	
32,0	2,92554	
32,3	2,92555	
32,5	2,92557	
32,8	2,92556	
33,1	2,92550	
33,3	2,92554	
33,6	2,92549	
33,9	2,92549	
34,1	2,92549	
34,4	2,92546	
34,7	2,92549	
34,9	2,92554	
35,2	2,92555	
35,5	2,92550	
35,7	2,92548	
36,0	2,92550	
36,3	2,92553	
36,5	2,92554	
36,8	2,92554	
37,1	2,92552	
37,3	2,92553	
37,6	2,92552	
37,9	2,92554	
38,1	2,92556	
38,4	2,92551	
38,7	2,92553	
38,9	2,92549	
39,2	2,92548	
39,5	2,92551	
39,7	2,92552	
40,0	2,92552	
40,3	2,92551	
40,5	2,92548	
40,8	2,92550	
41,1	2,92548	
41,3	2,92545	
41,6	2,92549	
41,9	2,92544	
42,1	2,92548	
42,4	2,92543	
42,7	2,92545	
42,9	2,92549	
43,2	2,92551	
43,5	2,92550	
43,7	2,92553	
44,0	2,92548	
44,3	2,92548	
44,5	2,92555	
44,8	2,92556	
45,1	2,92554	
45,3	2,92556	
45,6	2,92554	
45,9	2,92551	
46,1	2,92550	
46,4	2,92553	
46,7	2,92548	
46,9	2,92555	
47,2	2,92552	
47,5	2,92551	
47,7	2,92552	
48,0	2,92558	
48,3	2,92555	
48,5	2,92548	
48,8	2,92548	
49,1	2,92545	
49,3	2,92547	
49,6	2,92553	
49,9	2,92556	
50,1	2,92555	
50,4	2,92549	
50,7	2,92550	
50,9	2,92552	
51,2	2,92554	
51,5	2,92555	
51,7	2,92554	
52,0	2,92556	
52,3	2,92548	
52,5	2,92550	
52,8	2,92554	
53,1	2,92552	
53,3	2,92553	
53,6	2,92550	
53,9	2,92546	
54,1	2,92551	
54,4	2,92550	
54,7	2,92551	
54,9	2,92552	
55,2	2,92548	
55,5	2,92553	
55,7	2,92553	
56,0	2,92550	
56,3	2,92552	
56,5	2,92549	
56,8	2,92551	
57,1	2,92555	
57,3	2,92559	
57,6	2,92553	
